uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type
REVBOLT_00006941,REVOS,REVOS,BD BLOCK west shalimar bagh,28.71245205,77.15506028,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919868732727""]",charging,110088,north-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016268,REVOS,REVOS,b927 shastri nagar delhi ,28.67321063,77.18246542,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919811009904""]",charging,110007,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00013879,REVOS,REVOS,H NO 228 Pooth Kalan Delhi,28.70781388,77.07499869,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919971940426""]",charging,110085,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00013744,REVOS,REVOS,H NO 228,28.70855463,77.07473114,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919971940426""]",charging,110086,north-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016488,REVOS,REVOS,a18 Durga vihar devli gao ,28.49919125,77.2256463,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918700725085""]",charging,110080,south-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_004092,REVOS,REVOS,DDA sector E1,28.53751513,77.13064615,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919953559959""]",charging,110070,south-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017410,REVOS,REVOS,A-800/34 shastri nagar delhi near Vijay perol pump,28.67401516,77.18621045,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919871288809""]",charging,110052,north-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017608,REVOS,REVOS,Baldev Park Parwana Rd,28.64683839,77.28897762,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919899886592""]",charging,110051,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017634,REVOS,REVOS,Baldev Park Parwana Rd,28.64678925,77.28897192,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919899886592""]",charging,110051,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016362,REVOS,REVOS,A-800/34 shastri nagar delhi near Vijay petrol pump,28.67398192,77.18623426,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919871288809""]",charging,110007,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
